property_ID,locality_name,postal_code,price,type_of_property,subtype_of_property,type_of_sale,nr_or_rooms,living_area,equiped_kitchen,furnished,open_fire,terrace,garden,nr_of_facades,swimming_pool,state_of_building
9619315,Aalst,9300.0,,house,huis,Vaste prijs,3.0,121.0,,0.0,,,,3.0,0.0,
9619520,Uccle,1180.0,,house,appartement,Vaste prijs,3.0,86.0,1.0,0.0,1.0,2.0,,2.0,,
9619637,Tournai,7500.0,,house,appartement,Vaste prijs,2.0,90.0,,,,,,,,
9619792,Wenduine,8420.0,,house,appartement,Vaste prijs,2.0,70.0,,,,4.0,,2.0,,Goed
9619994,Brugge,8000.0,,house,huis,Vaste prijs,4.0,,,,,,,,,
9619995,Brugge,8000.0,,house,huis,Vaste prijs,4.0,554.0,,,,,,,,
9619997,Brugge,8000.0,,house,huis,Vaste prijs,6.0,,,,,,,,,
9619998,Brugge,8000.0,,house,appartement,Vaste prijs,2.0,,,,,,,,,
9619999,Brugge,8000.0,,house,huis,Vaste prijs,3.0,,,,,,,,,
9620000,Brugge,8000.0,,house,huis,Vaste prijs,4.0,261.0,,,,,,,,Te renoveren
9620001,Brugge,8000.0,,house,huis,Vaste prijs,4.0,,,,,,,,,Net gerenoveerd
9620002,Brugge,8000.0,,house,appartement,Vaste prijs,2.0,,,,,,,,,
9620003,Brugge,8000.0,,house,huis,Vaste prijs,5.0,,,,,,,,,Uitstekende staat
9620004,Brugge,8000.0,,house,huis,Vaste prijs,4.0,,,,,,,,,
9620005,Brugge,8000.0,,house,huis,Vaste prijs,4.0,,,,,,,,,
9620006,Brugge,8000.0,,house,huis,Vaste prijs,3.0,,,,,,,,,
9620007,Brugge,8000.0,,house,huis,Vaste prijs,5.0,,,,,,,,,
9620008,Brugge,8000.0,,house,huis,Vaste prijs,4.0,450.0,,0.0,,,,,1.0,Goed
9620009,Brugge,8000.0,,house,huis,Vaste prijs,5.0,,,,,,,,,
9620010,Brugge,8000.0,,house,huis,Vaste prijs,5.0,,,,,,,,,
9620011,Brugge,8000.0,,house,huis,Vaste prijs,3.0,,,,,,,,,
9620012,Brugge,8000.0,,house,huis,Vaste prijs,4.0,324.0,,,,,,,,
9620013,Brugge,8000.0,,house,huis,Vaste prijs,3.0,,,,,,,,,
9620015,Brugge,8000.0,,house,huis,Vaste prijs,4.0,,,,,,,,,Goed
9620111,Gent,9000.0,,house,huis,Vaste prijs,5.0,190.0,,0.0,,,190.0,,,Goed
9620132,Oudenaarde,9700.0,,house,huis,Vaste prijs,3.0,120.0,,,,,,,,Te renoveren
9620263,Wachtebeke,9185.0,,house,huis,Vaste prijs,4.0,120.0,,,,,,,,Goed
9620668,Ninove,9400.0,,house,appartement,Vaste prijs,2.0,96.0,0.0,0.0,,6.0,,2.0,,Goed
9620756,Bastogne,6600.0,,house,huis,Vaste prijs,1.0,59.0,,0.0,,,,4.0,,
9620768,Bastogne,6600.0,,house,huis,Vaste prijs,4.0,146.0,,0.0,,,,4.0,,
9620790,Geraardsbergen,9500.0,,house,huis,Vaste prijs,4.0,460.0,0.0,0.0,,,3000.0,3.0,,Net gerenoveerd
9620865,Uccle,1180.0,,house,huis,Vaste prijs,2.0,110.0,1.0,0.0,,15.0,,2.0,,
9620959,Rixensart,1330.0,,house,huis,Vaste prijs,3.0,140.0,0.0,0.0,,20.0,400.0,3.0,,Uitstekende staat
9621646,Uccle,1180.0,,house,appartement,Vaste prijs,2.0,95.0,0.0,0.0,,,,2.0,,Uitstekende staat
9621931,Oudenaarde,9700.0,,house,appartement,Vaste prijs,2.0,89.0,,,,,,,,
9621937,Zandbergen,9506.0,,house,huis,Vaste prijs,3.0,290.0,1.0,,1.0,,,4.0,,Goed
9622083,Gent,9000.0,,house,appartement,Vaste prijs,2.0,81.0,,,,8.0,,,,Uitstekende staat
9622175,Lochristi,9080.0,,house,huis,Vaste prijs,3.0,165.0,1.0,0.0,,,40.0,,,Goed
9622180,Latem,9830.0,,house,huis,Vaste prijs,3.0,200.0,,,,,,,,Goed
9622181,Latem,9830.0,,house,huis,Vaste prijs,2.0,91.0,0.0,0.0,,,,,,Goed
9622263,Houtem,9520.0,,house,huis,Vaste prijs,3.0,139.0,1.0,,,,,,,
9622477,Londerzeel,1840.0,,house,huis,Vaste prijs,3.0,100.0,0.0,,,,,2.0,,Net gerenoveerd
9622484,Zellik,1731.0,,house,appartement,Vaste prijs,2.0,100.0,0.0,0.0,,66.0,,2.0,,Goed
9622563,Wemmel,1780.0,261837.0,house,appartement,Vaste prijs,1.0,74.0,1.0,,,,,,,
9622567,Wavre,1301.0,,house,huis,Vaste prijs,3.0,135.0,1.0,,,,,3.0,,Te renoveren
9622568,Wemmel,1780.0,450048.0,house,appartement,Vaste prijs,2.0,117.0,1.0,,,,,,,
9622571,Wemmel,1780.0,367288.0,house,appartement,Vaste prijs,3.0,102.0,1.0,,,,,,,
9622700,SAMBRE,6031.0,,house,huis,Vaste prijs,3.0,143.0,1.0,0.0,,25.0,120.0,2.0,0.0,Goed
9622743,Spa,4900.0,,house,appartement,Vaste prijs,2.0,95.0,1.0,,,,,,,
9622744,Spa,4900.0,,house,appartement,Vaste prijs,2.0,87.0,1.0,,,,,,,
9622745,Spa,4900.0,,house,appartement,Vaste prijs,2.0,92.0,1.0,,,,70.0,,,
9622746,Spa,4900.0,265000.0,house,appartement,Vaste prijs,2.0,98.0,1.0,,,,,,,
9622747,Spa,4900.0,,house,appartement,Vaste prijs,2.0,88.0,1.0,,,,18.0,,,
9622748,Spa,4900.0,,house,appartement,Vaste prijs,2.0,88.0,1.0,,,,,,,
9622749,Spa,4900.0,,house,appartement,Vaste prijs,2.0,87.0,1.0,,,,,,,
9622750,Spa,4900.0,,house,appartement,Vaste prijs,2.0,87.0,1.0,,,,,,,
9622751,Spa,4900.0,,house,appartement,Vaste prijs,2.0,87.0,1.0,,,,,,,
9622752,Spa,4900.0,,house,appartement,Vaste prijs,2.0,86.0,1.0,,,,,,,
9622753,Spa,4900.0,,house,appartement,Vaste prijs,2.0,88.0,1.0,,,,,,,
9622754,Spa,4900.0,,house,appartement,Vaste prijs,2.0,88.0,1.0,,,,,,,
9622755,Spa,4900.0,,house,appartement,Vaste prijs,2.0,87.0,1.0,,,,,,,
9622756,Spa,4900.0,,house,appartement,Vaste prijs,2.0,87.0,1.0,,,,,,,
9622757,Spa,4900.0,,house,appartement,Vaste prijs,2.0,87.0,1.0,,,,,,,
9622758,Spa,4900.0,,house,appartement,Vaste prijs,2.0,86.0,1.0,,,,,,,
9622759,Spa,4900.0,,house,appartement,Vaste prijs,2.0,88.0,1.0,,,,,,,
9622760,Spa,4900.0,,house,appartement,Vaste prijs,2.0,87.0,1.0,,,,,,,
9622761,Spa,4900.0,,house,appartement,Vaste prijs,2.0,116.0,1.0,,,,,,,
9622762,Spa,4900.0,,house,appartement,Vaste prijs,2.0,130.0,1.0,,,,,,,
9622763,Spa,4900.0,,house,appartement,Vaste prijs,2.0,94.0,1.0,,,,,,,
9622764,Spa,4900.0,,house,appartement,Vaste prijs,2.0,93.0,1.0,,,,,,,
9622786,Koksijde,8670.0,174000.0,house,huis,Vaste prijs,3.0,120.0,,,,,,2.0,,
9622870,Spa,4900.0,330000.0,house,appartement,Vaste prijs,3.0,132.0,1.0,,,,,,,
9622871,Spa,4900.0,330000.0,house,appartement,Vaste prijs,3.0,132.0,1.0,,,,,,,
9622872,Spa,4900.0,,house,appartement,Vaste prijs,3.0,146.0,1.0,,,,,,,
9622885,Spa,4900.0,,house,appartement,Vaste prijs,1.0,64.0,1.0,,,,16.0,,,
9622886,Spa,4900.0,,house,appartement,Vaste prijs,1.0,67.0,1.0,,,,7.0,,,
9622887,Spa,4900.0,,house,appartement,Vaste prijs,1.0,66.0,1.0,,,,51.0,,,
9622888,Spa,4900.0,,house,appartement,Vaste prijs,1.0,60.0,1.0,,,,,,,
9622889,Spa,4900.0,,house,appartement,Vaste prijs,1.0,60.0,1.0,,,,,,,
9622890,Spa,4900.0,,house,appartement,Vaste prijs,1.0,68.0,1.0,,,,,,,
9622891,Spa,4900.0,,house,appartement,Vaste prijs,1.0,68.0,1.0,,,,,,,
9622892,Spa,4900.0,,house,appartement,Vaste prijs,1.0,60.0,1.0,,,,,,,
9622893,Spa,4900.0,,house,appartement,Vaste prijs,1.0,59.0,1.0,,,,,,,
9622894,Spa,4900.0,,house,appartement,Vaste prijs,1.0,68.0,1.0,,,,,,,
9623028,Zemst,1980.0,,house,huis,Vaste prijs,3.0,96.0,,,,,10.0,4.0,,Goed
9623127,Duffel,2570.0,,house,appartement,Vaste prijs,2.0,83.0,0.0,,,5.0,,2.0,,Op te frissen
9623426,Waterloo,1410.0,,house,appartement,Vaste prijs,2.0,75.0,0.0,0.0,,9.0,,3.0,0.0,Uitstekende staat
9623457,Brasschaat,2930.0,,house,appartement,Vaste prijs,3.0,80.0,0.0,,,,,,,Uitstekende staat
9623528,Gilles,1060.0,,house,huis,Vaste prijs,4.0,160.0,1.0,0.0,,20.0,50.0,2.0,0.0,Op te frissen
9623540,Waregem,8790.0,,house,huis,Vaste prijs,4.0,287.0,,0.0,,,,3.0,,Net gerenoveerd
9623559,Waregem,8790.0,,house,huis,Vaste prijs,4.0,231.0,,0.0,,,,3.0,,
9623637,Hoeselt,3730.0,,house,appartement,Vaste prijs,2.0,94.0,1.0,0.0,,,,2.0,0.0,Goed
9623640,Oostende,8400.0,,house,appartement,Vaste prijs,2.0,97.0,1.0,0.0,,,,2.0,0.0,Op te frissen
9623758,Londerzeel,1840.0,,house,appartement,Vaste prijs,2.0,75.0,0.0,,,15.0,,4.0,,Goed
9624012,Izegem,8870.0,,house,huis,Vaste prijs,3.0,304.0,1.0,0.0,,,,,,Goed
9624062,Vilvoorde,1800.0,,house,huis,Vaste prijs,3.0,150.0,1.0,0.0,,,120.0,,,Op te frissen
9624420,SAMBRE,6031.0,219999.0,house,huis,Vaste prijs,3.0,203.0,1.0,0.0,,76.0,420.0,3.0,0.0,Goed
9624480,Brasschaat,2930.0,,house,appartement,Vaste prijs,2.0,85.0,,,,,,,,
9624666,Asse,1730.0,,house,huis,Vaste prijs,3.0,197.0,0.0,0.0,,,,2.0,,Goed
9624743,Houthulst,8650.0,210363.0,house,appartement,Vaste prijs,1.0,75.0,,,,,,,,Goed
9624745,Houthulst,8650.0,226711.0,house,appartement,Vaste prijs,1.0,75.0,,,,,,,,Goed
9624746,Houthulst,8650.0,,house,appartement,Vaste prijs,2.0,106.0,,,,,,,,Goed
9624750,Houthulst,8650.0,232869.0,house,appartement,Vaste prijs,1.0,75.0,,,,,,,,Goed
9624973,Huy,4500.0,,house,appartement,Vaste prijs,2.0,93.0,1.0,,,10.0,,4.0,,
9625056,Wavre,1300.0,,house,appartement,Vaste prijs,1.0,70.0,1.0,,,20.0,,2.0,,Goed
9625144,Agathe,1082.0,,house,huis,Vaste prijs,3.0,126.0,1.0,0.0,,,10.0,2.0,,Te renoveren
9625270,Schaerbeek,1030.0,,house,huis,Vaste prijs,6.0,230.0,1.0,,,,,2.0,,Op te frissen
9625334,Kortrijk,8500.0,,house,huis,Vaste prijs,3.0,140.0,,,,,,2.0,,Goed
9625913,Ledegem,8880.0,,house,huis,Vaste prijs,4.0,,,0.0,,,,,,Te renoveren
9626707,Aalst,9300.0,,house,huis,Vaste prijs,3.0,195.0,0.0,,,10.0,180.0,2.0,,Goed
9626708,Aalst,9300.0,,house,huis,Vaste prijs,3.0,148.0,0.0,,,20.0,80.0,3.0,,Op te frissen
9626802,Knokke,8300.0,,house,appartement,Vaste prijs,3.0,129.0,,,,,,,,Goed
9626923,Leuven,3000.0,,house,appartement,Vaste prijs,1.0,19.0,1.0,1.0,,,,3.0,,Goed
9626985,Huy,4500.0,,house,huis,Vaste prijs,2.0,111.0,1.0,,,8.0,380.0,3.0,,Goed
9627191,Heist,8300.0,,house,appartement,Vaste prijs,2.0,92.0,1.0,0.0,,,,2.0,,Goed
9627635,Veurne,8630.0,,house,huis,Vaste prijs,2.0,111.0,,0.0,,,,4.0,,Te restaureren
9627967,Aalst,9300.0,,house,appartement,Vaste prijs,2.0,90.0,,0.0,,15.0,,4.0,0.0,
9627980,Aalst,9300.0,,house,appartement,Vaste prijs,1.0,73.0,,0.0,,14.0,,4.0,0.0,Goed
9628284,Mons,7000.0,,house,huis,Vaste prijs,4.0,150.0,0.0,0.0,1.0,,,3.0,,Goed
9628321,Zwevezele,8750.0,,house,huis,Vaste prijs,3.0,100.0,,0.0,,,,2.0,0.0,Te renoveren
9628464,Bastogne,6600.0,,house,huis,Vaste prijs,4.0,166.0,0.0,0.0,,26.0,,4.0,0.0,
9628732,Oostende,8400.0,,house,appartement,Vaste prijs,,27.0,,1.0,,,,2.0,,Goed
9628786,Gent,9000.0,,house,appartement,Vaste prijs,2.0,101.0,1.0,,,3.0,,,,Net gerenoveerd
9629023,Genk,3600.0,265000.0,house,huis,Vaste prijs,3.0,,,0.0,,,,,,Goed
9629024,Genk,3600.0,269000.0,house,huis,Vaste prijs,3.0,,,0.0,,,,,,Goed
9629025,Genk,3600.0,289000.0,house,huis,Vaste prijs,3.0,,,0.0,,,,,,Goed
9629026,Genk,3600.0,299000.0,house,huis,Vaste prijs,3.0,,,0.0,,,,,,Goed
9629027,Genk,3600.0,365000.0,house,huis,Vaste prijs,4.0,,,0.0,,,,,,Goed
9629028,Genk,3600.0,179000.0,house,appartement,Vaste prijs,1.0,,,0.0,,,,,,Uitstekende staat
9629029,Genk,3600.0,182000.0,house,appartement,Vaste prijs,1.0,,,0.0,,,,,,Uitstekende staat
9629030,Genk,3600.0,215000.0,house,appartement,Vaste prijs,2.0,,,0.0,,,,,,Uitstekende staat
9629031,Genk,3600.0,235000.0,house,appartement,Vaste prijs,2.0,,,0.0,,,,,,Uitstekende staat
9629032,Genk,3600.0,330000.0,house,appartement,Vaste prijs,2.0,,,0.0,,,,,,Uitstekende staat
9629033,Genk,3600.0,275000.0,house,appartement,Vaste prijs,3.0,,,0.0,,,,,,Uitstekende staat
9629049,Zwevezele,8750.0,,house,appartement,Vaste prijs,2.0,95.0,,0.0,,,,3.0,0.0,Te renoveren
9629150,Haaltert,9450.0,,house,appartement,Vaste prijs,2.0,,,,,,,,,Goed
9629283,Wachtebeke,9185.0,,house,huis,Vaste prijs,4.0,208.0,,,,,,,,Op te frissen
9629315,Ledegem,8880.0,,house,huis,Vaste prijs,3.0,,,,,,,,,
9629392,Heist,8300.0,,house,appartement,Vaste prijs,2.0,110.0,0.0,,,,,,0.0,Goed
9629670,Aalst,9300.0,,house,huis,Vaste prijs,3.0,175.0,1.0,,,18.0,70.0,3.0,,Goed
9629989,Rixensart,1330.0,,house,huis,Vaste prijs,3.0,140.0,0.0,0.0,,20.0,400.0,3.0,,Uitstekende staat
9630133,Ninove,9400.0,,house,huis,Vaste prijs,3.0,168.0,0.0,0.0,,23.0,390.0,3.0,0.0,Net gerenoveerd
9630304,Leuven,3000.0,,house,huis,Vaste prijs,2.0,180.0,,0.0,,,,4.0,,Te renoveren
9630443,Wavre,1300.0,,house,huis,Vaste prijs,4.0,120.0,,,,,,,,
9630743,Londerzeel,1840.0,,house,huis,Vaste prijs,3.0,80.0,0.0,,,,,3.0,,Op te frissen
9630926,Bastogne,6600.0,,house,appartement,Vaste prijs,2.0,109.0,,0.0,,,,4.0,,
9630978,Vlezenbeek,1602.0,,house,appartement,Vaste prijs,2.0,76.0,1.0,,,4.0,,,,Goed
9631165,Ninove,9400.0,,house,huis,Vaste prijs,3.0,303.0,0.0,0.0,,,,4.0,0.0,Goed
9631335,Gent,9000.0,,house,huis,Vaste prijs,4.0,244.0,1.0,,,60.0,60.0,2.0,,Goed
9631372,Zemst,1980.0,,house,huis,Vaste prijs,3.0,186.0,,,,,,4.0,,
9631373,Zemst,1980.0,,house,huis,Vaste prijs,4.0,172.0,,,,,,4.0,,Goed
9631720,Blankenberge,8370.0,,house,appartement,Vaste prijs,2.0,84.0,,,,,,,,Goed
